dataset,task,event_or_lock,n_trials,window_start_ms,window_stop_ms,baseline_start_ms,baseline_stop_ms,sensor_gfp_peak_ms,source_map,method,target_roi,target_roi_vertices,target_roi_mass_pct,target_roi_enrichment,peak_distance_to_target_roi_mm,peak_label,peak_hemi,roi_used_before_evaluation
MNE sample,听觉-左侧刺激,event 1/2/3/4,69,80.0,120.0,-200.0,-10.0,94.90272625023424,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,55.10676846676191,13.200976037181496,2.593044353560293,bankssts-lh,left,False
MNE sample,听觉-左侧刺激,event 1/2/3/4,69,80.0,120.0,-200.0,-10.0,94.90272625023424,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,27.14751841376709,6.503261759310723,0.0,superiortemporal-lh,left,False
MNE sample,听觉-左侧刺激,event 1/2/3/4,69,80.0,120.0,-200.0,-10.0,94.90272625023424,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,22.56243512608654,5.404892606242711,8.618111649468414,bankssts-lh,left,False
MNE sample,听觉-右侧刺激,event 1/2/3/4,70,80.0,120.0,-200.0,-10.0,89.90784592127454,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,64.16414097376169,15.370694217931796,0.0,superiortemporal-rh,right,False
MNE sample,听觉-右侧刺激,event 1/2/3/4,70,80.0,120.0,-200.0,-10.0,89.90784592127454,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,30.088359586050323,7.207748248441065,0.0,superiortemporal-lh,left,False
MNE sample,听觉-右侧刺激,event 1/2/3/4,70,80.0,120.0,-200.0,-10.0,89.90784592127454,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,24.521971694397344,5.87430491260675,0.0,superiortemporal-lh,left,False
MNE sample,视觉-左侧视野,event 1/2/3/4,72,80.0,150.0,-200.0,-10.0,134.86176888191181,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,pericalcarine-rh+cuneus-rh+lateraloccipital-rh+lingual-rh,246,96.095434248838,29.289575853568593,0.0,lateraloccipital-rh,right,False
MNE sample,视觉-左侧视野,event 1/2/3/4,72,80.0,150.0,-200.0,-10.0,134.86176888191181,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,pericalcarine-rh+cuneus-rh+lateraloccipital-rh+lingual-rh,246,47.693952832089835,14.53696172093535,0.0,pericalcarine-rh,right,False
MNE sample,视觉-左侧视野,event 1/2/3/4,72,80.0,150.0,-200.0,-10.0,134.86176888191181,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,pericalcarine-rh+cuneus-rh+lateraloccipital-rh+lingual-rh,246,54.873729885925535,16.725334418076006,0.0,lateraloccipital-rh,right,False
MNE sample,视觉-右侧视野,event 1/2/3/4,67,80.0,150.0,-200.0,-10.0,91.57280603092777,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,pericalcarine-lh+cuneus-lh+lateraloccipital-lh+lingual-lh,241,100.00000000000003,31.112033195020754,0.0,lateraloccipital-lh,left,False
